"background size","chart color","description","Evidence codes","intersecting genes","intersection size","network.SUID","nodes.SUID","p-value","precision","query size","recall","source","term id","term name","term size"
"22090","","""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]","""ISS""|""IBA""|""IEA""|""IDA""","ILMN_1703524|ILMN_2065254|ILMN_1772627|ILMN_1665547|ILMN_2181125|ILMN_1803818|ILMN_2044226|ILMN_1659801|ILMN_1695947|ILMN_1798485|ILMN_2407824|ILMN_1732154|ILMN_2377459|ILMN_1801302|ILMN_2341467|ILMN_1673704","16","16215","16502|16412|16296|16387|16334|16342|16420|16301|16289|16277|16355|16243|16659|16318|16535|16329","2.8746741062375436E-4","0.38095238095238093","42","0.007226738934056007","Gene Ontology Cellular Component branch","GO:0030054","cell junction","2214"
"11006","","cerebral cortex; neuropil[≥Medium]","""Approved""|""Enhanced""|""Supported""","ILMN_1662470|ILMN_1788053|ILMN_1685496|ILMN_1693233|ILMN_1665547|ILMN_2181125|ILMN_1741204|ILMN_1659820|ILMN_1804629|ILMN_1802627|ILMN_2044226|ILMN_1659801|ILMN_1695947|ILMN_1798485|ILMN_2407824|ILMN_1732154|ILMN_1748281|ILMN_2341467|ILMN_1673704","19","16215","16488|16316|16245|16401|16387|16334|16540|16360|16442|16623|16420|16301|16289|16277|16355|16243|16347|16535|16329","8.61438968088754E-4","0.6333333333333333","30","0.0072685539403213465","Human Protein Atlas","HPA:0100212","cerebral cortex; neuropil[≥Medium]","2614"
"11006","","cerebellum; processes in white matter[≥Low]","""Enhanced""|""Supported""","ILMN_1665547|ILMN_2181125|ILMN_2044226|ILMN_1732154|ILMN_2341467|ILMN_1673704","6","16215","16387|16334|16420|16243|16535|16329","0.003185927383052312","0.2","30","0.02912621359223301","Human Protein Atlas","HPA:0091041","cerebellum; processes in white matter[≥Low]","206"
"22090","","""The intermediate filament cytoskeleton that is part of a postsynapse."" [GOC:dos, PMID:25869803]","""IBA""|""IEA""","ILMN_2341467|ILMN_1673704","2","16215","16535|16329","0.004715040200333035","0.047619047619047616","42","0.5","Gene Ontology Cellular Component branch","GO:0099160","postsynaptic intermediate filament cytoskeleton","4"
"20139","","""The action of a molecule that contributes to the structural integrity of a postsynaptic intermediate filament cytoskeleton."" [GOC:dos]","""IBA""|""IEA""","ILMN_2341467|ILMN_1673704","2","16215","16535|16329","0.005360944623272574","0.04878048780487805","41","0.6666666666666666","Gene Ontology Molecular Function","GO:0099184","structural constituent of postsynaptic intermediate filament cytoskeleton","3"
"11006","","cerebellum; synaptic glomeruli - core[≥Medium]","""Enhanced""|""Supported""","ILMN_1685496|ILMN_1693233|ILMN_2181125|ILMN_1801378|ILMN_2044226|ILMN_1732154","6","16215","16245|16401|16334|16450|16420|16243","0.005658686367975371","0.2","30","0.02631578947368421","Human Protein Atlas","HPA:0091062","cerebellum; synaptic glomeruli - core[≥Medium]","228"
"11006","","cerebellum; synaptic glomeruli - capsule[≥Medium]","""Enhanced""|""Supported""","ILMN_2181125|ILMN_1732154|ILMN_2341467|ILMN_1673704","4","16215","16334|16243|16535|16329","0.007497865211521768","0.13333333333333333","30","0.056338028169014086","Human Protein Atlas","HPA:0091052","cerebellum; synaptic glomeruli - capsule[≥Medium]","71"
"20139","","""Binding to an ATPase, any enzyme that catalyzes the hydrolysis of ATP."" [GOC:ai]","""IPI""","ILMN_2044226|ILMN_1798485|ILMN_2407824|ILMN_1763460","4","16215","16420|16277|16355|16463","0.011218505425942608","0.0975609756097561","41","0.047619047619047616","Gene Ontology Molecular Function","GO:0051117","ATPase binding","84"
"22090","","""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]","""IBA""|""IEA""|""IDA""","ILMN_2065254|ILMN_1772627|ILMN_1665547|ILMN_2181125|ILMN_1803818|ILMN_2044226|ILMN_1659801|ILMN_1798485|ILMN_1732154|ILMN_2341467|ILMN_1673704","11","16215","16412|16296|16387|16334|16342|16420|16301|16277|16243|16535|16329","0.013573885992484911","0.2619047619047619","42","0.007580978635423846","Gene Ontology Cellular Component branch","GO:0045202","synapse","1451"
"20139","","""Enables the transmembrane transfer of a sodium ion by a voltage-gated channel through the plasma membrane of a cardiac muscle cell contributing to the depolarization phase of an action potential. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded."" [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]","""IMP""|""IEA""","ILMN_1695947|ILMN_1801302","2","16215","16289|16318","0.017823708377282477","0.04878048780487805","41","0.4","Gene Ontology Molecular Function","GO:0086006","voltage-gated sodium channel activity involved in cardiac muscle cell action potential","5"
